id,delta,epsilon,baseline_dist,simp_dist,orig_points,baseline_points,simp_points
766,13.975325183688573,0.5,20.96298777553286,-1.0,1701,997,716
769,-1,0.5,-1,-1,1329,131,-1
768,14.51220964795501,0.5,21.768314471932513,-1.0,1361,883,576
771,13.228864492736669,0.5,19.843296739105003,18.712879865750338,1723,296,172
773,10.85602393456148,0.5,16.28403590184222,15.357567079324866,1124,755,536
770,7.640918194596007,0.5,11.46137729189401,10.810000000000413,1801,83,42
772,14.196285069540174,0.5,21.29442760431026,-1.0,1693,671,456
777,11.718791004218893,0.5,17.57818650632834,16.577868523386957,321,294,222
775,14.658699164394966,0.5,21.988048746592447,-1.0,714,454,358
776,14.542009708078938,0.5,21.813014562118408,20.574045853547766,2007,1198,748
774,13.859979119129903,0.5,20.789968678694855,-1.0,1708,895,724
778,9.403904680585933,0.5,14.1058570208789,13.304006856981681,840,779,592
779,9.868712034489821,0.5,14.803068051734732,13.961212342773456,779,691,544
780,12.38827436609242,0.5,18.58241154913863,17.537093744283553,1262,1004,734
781,14.682363387493382,0.5,22.023545081240073,20.772355459162323,846,713,458
782,12.925481960348321,0.5,19.388222940522482,18.281254957833905,1152,209,110
783,13.293722152812292,0.5,19.940583229218436,18.804909430199785,605,336,222
785,13.138844201297461,0.5,19.708266301946193,18.649096079493276,1557,1103,726
786,-1,0.5,-1,-1,1673,1304,-1
784,13.299216312637581,0.5,19.94882446895637,18.81139873423585,1752,344,188
791,-1,0.5,-1,-1,1640,892,-1
787,13.700567680121422,0.5,20.550851520182132,-1.0,1669,948,666
788,11.635150283060097,0.5,17.452725424590145,-1.0,1618,524,402
792,14.456127392432508,0.5,21.684191088648763,20.44904312785882,559,498,398
789,12.415719847421682,0.5,18.623579771132523,-1.0,1741,959,700
790,13.630158294669217,0.5,20.445237442003826,-1.0,1688,747,592
794,14.291177863034974,0.5,21.43676679455246,20.215735166201625,1582,720,558
797,12.59932695947843,0.5,18.898990439217645,17.8231325092717,934,706,480
795,14.07153589256364,0.5,21.10730383884546,19.905130851764046,3372,1114,714
793,10.247302114313724,0.5,15.370953171470587,-1.0,1634,827,644
796,13.657696213494981,0.5,20.486544320242473,-1.0,1804,1337,936
798,14.483469273691133,0.5,21.7252039105367,20.669926542116357,1563,1063,700
801,13.856509243036633,0.5,20.78476386455495,19.600000000000364,1656,339,174
800,13.683984790708159,0.5,20.52597718606224,-1.0,1881,1348,1020
799,14.617909715066626,0.5,21.92686457259994,-1.0,4183,2466,1120
802,12.529382233767,0.5,18.7940733506505,17.72361864663314,843,113,60
805,-1,0.5,-1,-1,1597,124,-1
804,14.18253323552672,0.5,21.27379985329008,20.06208070522943,1563,1157,686
803,14.726634990257724,0.5,22.089952485386586,-1.0,2010,1581,938
806,14.817319499247617,0.5,22.225979248871425,-1.0,1586,1066,830
808,-1,0.5,-1,-1,1608,908,-1
807,14.748279522920877,0.5,22.122419284381316,21.041640773337235,1399,865,596
809,-1,0.5,-1,-1,1603,513,-1
811,-1,0.5,-1,-1,1682,612,-1
810,11.505035518583766,0.5,17.257553277875648,-1.0,1039,678,548
812,13.4077632895995,0.5,20.111644934399248,19.10938232044,1441,1274,1072
815,-1,0.5,-1,-1,1453,472,-1
814,14.206751930568279,0.5,21.310127895852418,20.09626481158363,663,425,296
813,13.76439832551307,0.5,20.646597488269606,19.518768123503424,1346,740,562
816,10.56054591109446,0.5,15.84081886664169,-1.0,1753,229,148
819,11.2903914575557,0.5,16.93558718633355,15.970660948119214,1700,461,238
821,12.254561029128233,0.5,18.38184154369235,17.335437759288688,635,265,164
818,13.158280058947073,0.5,19.73742008842061,-1.0,5293,2362,1106
817,9.431436077835821,0.5,14.14715411675373,13.35436230621296,4443,199,72
820,7.586068401693523,0.5,11.379102602540284,10.729999999999563,4001,256,132
822,5.819103130597859,0.5,8.728654695896788,-1.0,536,59,44
823,12.800660604816263,0.5,19.200990907224394,18.119680004160816,2843,1367,634
824,10.537524101156938,0.5,15.806286151735408,-1.0,965,624,492
826,10.082868469888313,0.5,15.12430270483247,14.259613260510633,1080,234,160
827,12.485685428094095,0.5,18.728528142141144,17.66223493441002,611,243,156
825,11.423924834540236,0.5,17.135887251810352,16.155873411223986,2504,76,18
828,13.45462450551556,0.5,20.18193675827334,19.049111970975876,1103,318,236
829,13.556233266983826,0.5,20.33434990047574,19.176765502516684,1236,1024,734
830,9.208700028132212,0.5,13.813050042198316,13.02802675603841,148,136,120
831,12.25341220111467,0.5,18.380118301672006,17.33380836578745,1240,811,580
832,12.458022377129337,0.5,18.687033565694005,-1.0,1756,935,728
834,11.456757146360538,0.5,17.185135719540806,16.251556412925027,907,846,670
833,12.929807916959597,0.5,19.394711875439395,-1.0,2818,1073,784
835,5.472641285267312,0.5,8.208961927900969,7.744464858723705,454,263,224
837,9.093057896584758,0.5,13.639586844877138,12.876895438378302,807,592,500
836,10.338465394598797,0.5,15.507698091898195,14.620801553050585,1673,134,62
840,5.8750727324998,0.5,8.8126090987497,8.312157788214103,85,66,38
838,12.96186767993825,0.5,19.442801519907373,-1.0,966,672,564
839,13.874349238084962,0.5,20.811523857127444,-1.0,5144,2876,1348
841,8.70093847211582,0.5,13.051407708173729,12.322361832090667,3678,412,220
843,11.751559971149582,0.5,17.627339956724374,16.623923694713195,2225,799,410
844,11.590152368471175,0.5,17.385228552706764,16.40011406214313,1750,145,80
842,11.485214184459302,0.5,17.227821276688953,-1.0,6590,483,186
846,11.822432865481915,0.5,17.733649298222872,16.724419829633256,1099,573,376
847,3.949510499865312,0.5,5.924265749797968,5.590192039776984,127,100,92
845,7.486847145478428,0.5,11.230270718217641,10.59303417288248,3020,201,100
848,13.638653368022503,0.5,20.457980052033754,19.292831005415422,629,441,366
849,13.405294891568731,0.5,20.107942337353098,-1.0,1436,989,592
852,-1,0.5,-1,-1,1574,550,-1
850,14.541436342344582,0.5,21.812154513516873,20.569649367058698,1774,1230,804
854,12.64425369628548,0.5,18.96638054442822,17.886576256078495,805,520,376
851,14.513964910827404,0.5,21.770947366241106,-1.0,1663,1250,860
853,11.457300487920428,0.5,17.18595073188064,16.208064729307026,1604,1275,968
856,7.504113937593085,0.5,11.256170906389627,10.617314398996681,466,354,318
855,12.358867322114499,0.5,18.538300983171748,17.482884372293373,1375,765,468
858,13.66325950391942,0.5,20.49488925587913,19.327724994031527,663,411,344
857,11.20264736248531,0.5,16.803971043727966,-1.0,1700,1270,836
859,9.003880758078571,0.5,13.505821137117858,12.743959704598883,1643,435,344
860,10.847267306458683,0.5,16.270900959688024,15.374622278037023,1757,979,594
863,9.882438843867472,0.5,14.823658265801209,13.998236198261916,900,778,550
862,13.58290567735797,0.5,20.374358516036956,19.326054204802517,3101,1741,846
861,4.710204307293513,0.5,7.06530646094027,-1.0,3345,74,40
864,12.77774815380213,0.5,19.166622230703194,18.074961842726143,1267,271,154
867,0.0,0.5,0.0,-1.0,2,2,-1
866,9.310353252543761,0.5,13.965529878815643,13.170000000000073,1154,180,114
865,8.536280663629995,0.5,12.804420995444993,12.086518591362049,1284,135,90
868,-1,0.5,-1,-1,5,5,-1
870,-1,0.5,-1,-1,1720,252,-1
869,-1,0.5,-1,-1,3,2,-1
871,12.437756242411945,0.5,18.65663436361792,-1.0,1456,1127,812
873,9.602642411566606,0.5,14.403963617349909,13.730914043008166,1656,520,404
874,9.400417574252003,0.5,14.100626361378005,13.294404476446294,736,79,54
872,12.472909519756755,0.5,18.709364279635132,-1.0,911,544,418
876,-1,0.5,-1,-1,1874,72,-1
879,0.9110257109598742,0.5,1.3665385664398113,1.293201796110901,182,170,148
880,10.254726006023512,0.5,15.382089009035269,14.502374499843746,1036,158,110
878,13.06434199361537,0.5,19.596512990423054,18.48063459541507,1656,642,470
881,12.004867068838001,0.5,18.007300603257,16.982428098065704,1587,764,626
882,-1,0.5,-1,-1,724,376,-1
875,14.121509347698735,0.5,21.182264021548104,-1.0,6647,4122,1928
885,-1,0.5,-1,-1,1666,732,-1
884,9.329535499679512,0.5,13.994303249519268,13.198681337729905,796,567,436
886,6.356989127463571,0.5,9.535483691195356,8.994937675801035,270,163,138
877,9.942149725936023,0.5,14.913224588904034,-1.0,7137,404,160
883,13.272017870295377,0.5,19.908026805443065,18.960537753618787,5655,2916,1340
887,6.542249082767634,0.5,9.81337362415145,-1.0,803,475,400
891,-1,0.5,-1,-1,1801,908,-1
888,11.727605113058509,0.5,17.591407669587763,16.59026473563647,1784,666,502
890,-1,0.5,-1,-1,1392,442,-1
894,0.0,0.5,0.0,-1.0,6,6,-1
889,11.82651296519924,0.5,17.73976944779886,-1.0,943,533,420
893,12.197287894186688,0.5,18.295931841280034,17.25442904158804,900,356,268
896,12.006487696610101,0.5,18.00973154491515,16.984628858390863,879,673,562
892,13.524729415185282,0.5,20.287094122777923,-1.0,1713,1353,1090
899,-1,0.5,-1,-1,1745,911,-1
900,0.0,0.5,0.0,-1.0,455,248,-1
895,10.238393954797358,0.5,15.357590932196036,-1.0,1522,628,508
897,8.33787880689795,0.5,12.506818210346925,-1.0,1099,906,714
902,7.887198136840392,0.5,11.830797205260588,11.199208025098187,909,318,254
901,12.43680057298782,0.5,18.65520085948173,17.590606460877684,1600,202,102
898,13.504866950414431,0.5,20.257300425621647,-1.0,1807,1173,906
906,11.890621706370062,0.5,17.835932559555093,16.82225722368564,1689,136,70
905,10.21084304012713,0.5,15.316264560190696,-1.0,939,479,384
904,12.733150583186335,0.5,19.0997258747795,-1.0,1768,469,330
907,-1,0.5,-1,-1,1649,615,-1
903,12.147289954162469,0.5,18.220934931243704,17.182575921278648,5456,461,170
910,7.298842662092459,0.5,10.948263993138688,10.32710006949966,913,659,506
911,8.824367708343027,0.5,13.236551562514542,12.48707709952552,1359,1279,1024
912,13.469667360298919,0.5,20.204501040448378,19.05377535154793,540,504,360
908,11.542007773771024,0.5,17.313011660656535,-1.0,1655,842,628
909,9.750432567352522,0.5,14.625648851028783,-1.0,1135,765,586
