id,baseline_algo,original_points,baseline_points,simplify_points,baseline_frechet,simplify_frechet,baseline_time,simplify_time,best_e,best_d
18,SQUISH,1615,161,88,14.415741635090841,7741.32342564801,0.006818583991844207,0.7785299999999999,0.8,8.008745352828244
17,DP,1979,59,44,382.0820775524746,323.31889882581066,0.008240708004450426,1.04758,0.8,212.26782086248588
17,DOTS,1979,324,194,22.31810605422012,18.8896379173658,0.02965816599316895,0.9806699999999999,0.8,12.398947807900067
17,SQUISH,1979,197,70,166.8767071917295,141.21392245460746,0.006642582986387424,0.81172,0.8,92.70928177318306
19,DP,808,14,16,195.86515555665693,165.73962877995518,0.005832750000990927,0.43351,0.8,108.81397530925385
19,DOTS,808,111,66,29.36560600562614,24.851070014377964,0.015779541005031206,0.42033,0.8,16.31422555868119
19,SQUISH,808,80,46,51.369560747220866,43.472831181095685,0.006127000000560656,0.34833,0.8,28.538644859567146
16,DP,4463,9,10,201.41505476250808,170.44072433401436,0.011641125005553477,2.8044000000000002,0.8,111.89725264583782
16,DOTS,4463,212,130,12.489356968345705,10.569010312103089,0.03299424999568146,1.84847,0.8,6.9385316490809466
16,SQUISH,4463,446,130,12.741278812196247,10.7813259637961,0.01174416700087022,1.6413900000000001,0.8,7.078488228997915
22,DP,2,2,4,0.0,1.9999999494757503e-05,0.006218583002919331,0.0,0.7,0.0
22,DOTS,2,2,4,0.0,1.9999999494757503e-05,0.016655250001349486,0.0,0.7,0.0
22,SQUISH,2,1,-1,,-1,0.003707041993038729,-1,-1,-1
20,DP,1520,168,194,194.3883800664054,164.4954668651619,0.009845374996075407,0.60563,0.8,107.99354448133633
20,DOTS,1520,422,314,24.314679595695754,20.580422347789472,0.018647958000656217,0.57797,0.8,13.508155330942085
20,SQUISH,1520,152,52,1306.130459819141,1105.2413271100802,0.005664665994117968,0.5528500000000001,0.8,725.6280332328561
21,DP,1491,193,166,294.57040141830004,249.26832575827746,0.007570750007289462,0.66922,0.8,163.65022301016668
21,DOTS,1491,491,376,26.886500762440107,22.75633809769723,0.021160624994081445,0.56444,0.8,14.936944868022282
21,SQUISH,1491,149,82,829.3400420233854,701.7846061768565,0.005357458008802496,0.5615399999999999,0.8,460.74446779076965
23,DP,865,188,104,547.4077114308266,463.2205799608009,0.00691566699242685,0.35646,0.8,304.11539523934806
23,DOTS,865,386,322,19.388455981781437,16.411863824359802,0.019232708000345156,0.30063,0.8,10.77136443432302
23,SQUISH,865,86,24,1675.8342975140492,1418.0816038043722,0.004964084000675939,0.32044,0.8,931.0190541744718
24,DP,2030,50,56,184.60283835206016,156.2139220518184,0.008524624994606711,0.9571799999999999,0.8,102.5571324178112
24,DOTS,2030,571,362,27.93129266676717,23.639216424038278,0.02071520799654536,0.70666,0.8,15.517384814870649
24,SQUISH,2030,203,108,109.04636000421223,92.27941327159503,0.007486375005100854,0.6820700000000001,0.8,60.581311113451235
26,DP,1544,7,10,147.40435159172856,124.73350519988787,0.006549915997311473,0.83947,0.8,81.8913064398492
26,DOTS,1544,180,108,25.359978396834897,21.46262188277314,0.017793874998460524,0.50485,0.8,14.088876887130498
26,SQUISH,1544,154,62,41.74074695206569,35.323536469890946,0.007030166991171427,0.63463,0.8,23.18930386225872
27,DP,1974,492,506,206.94723376482176,175.1242581815084,0.010584792005829513,0.7254400000000001,0.8,114.97068542490098
27,DOTS,1974,1555,1042,26.662367872434302,22.56770156939664,0.02949225000338629,0.88086,0.8,14.812426595796834
27,SQUISH,1974,197,94,1757.0182371816945,1486.7844584342824,0.007000625002547167,0.87588,0.8,976.1212428787192
25,DP,2260,209,218,243.03428707921185,205.66022707367816,0.008648374991025776,0.91228,0.8,135.0190483773399
25,DOTS,2260,1568,934,31.236269279112612,26.436931793221262,0.030062375008128583,0.7995099999999999,0.8,17.35348293284034
25,SQUISH,2260,226,60,697.3547405064712,590.1004162925485,0.008224374993005767,0.88664,0.8,387.4193002813729
29,DP,1404,507,504,229.8878324638124,194.53645354052352,0.012288957994314842,0.47678,0.8,127.71546247989578
29,DOTS,1404,1241,916,31.433040151857572,26.603810703781196,0.02238700000452809,0.45992,0.8,17.462800084365316
29,SQUISH,1404,140,66,2544.1593094143172,2152.8629002497414,0.005757250008173287,0.5635800000000001,0.8,1413.4218385635095
31,DP,3602,94,78,292.67068133530825,247.65553322942728,0.01065500000549946,1.49703,0.8,162.59482296406014
31,DOTS,3602,1031,498,29.80177638500007,264.46374165123785,0.022935333006898873,1.5406900000000001,0.8,16.55654243611115
31,SQUISH,3602,360,86,234.89997295467882,495.58220550681324,0.008846540993545204,1.56036,0.9,123.63156471298886
30,DP,1966,524,528,214.95868145309947,181.9030534032776,0.00886562500090804,0.69067,0.8,119.42148969616638
30,DOTS,1966,1717,1220,25.528330129421043,21.6073077049475,0.029189416993176565,0.60814,0.8,14.182405627456134
30,SQUISH,1966,196,78,2174.5593128666883,1840.1102599899089,0.006604416994377971,0.77139,0.8,1208.08850714816
32,DP,550,156,168,216.51221585045724,183.2181248824394,0.0072151250060414895,0.20804,0.8,120.28456436136513
